textID,review,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
f532604ee6,doesn`t want to go to work....,doesn`t want to go to work..,negative,noon,21-30,Slovakia,5459642,48088.0,114
8cc9fcd1de,#snl...you`ve gotten better  keep it up,you`ve gotten better,positive,night,70-100,Madagascar,27691018,581795.0,48
ff6890afa3,traveling to L.a today to see grandpa in hospital..Yet another road block to cross fro my family,Yet another road block to cross fro my family,negative,morning,0-20,Timor-Leste,1318445,14870.0,89
9fc03ff07c,Month end... still stuck in my office waiting for the stragglers to get there s#!t together.,stuck,negative,noon,21-30,Dominican Republic,10847910,48300.0,225
57a498a841,"  yahyan:  iaaaaaaaaaaaaan, i was just joking",st jokin,positive,night,31-45,Monaco,39242,1.0,26337
9eb939eeb8," those cakes sure look good ,,took one if it`s ok with you  ummm good tks",sure look good,positive,morning,0-20,Argentina,45195774,2736690.0,17
579f45f637, Thank you! I appreciate that.,I appreciate,positive,morning,46-60,South Korea,51269185,97230.0,527
ddf77049bc," haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",se none of my friends liking,negative,noon,21-30,North Korea,25778816,120410.0,214
0d1925608e," Ooo showing of your French skills!! lol Things good over here. Lovely weather, so should be outside  How`s u?","Things good over here. Lovely weather,",positive,night,31-45,Brazil,212559417,8358140.0,25
dbde210ea9," Yeah, it`s good! If you`re not going to use it, give it to me! I want to watch Star Trek","Yeah, it`s good!",positive,morning,46-60,Nigeria,206139589,910770.0,226
dc3781d112,My generation is too **** apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?,My generation is too **** apathetic to party down in the desert.,negative,night,31-45,Uzbekistan,33469203,425400.0,79
3b1c7ecca2,Wishing all Mothers Happy Mother`s Day,Happy,positive,night,31-45,Senegal,16743927,192530.0,87
2aa19bfc66, Sorry to hear.,Sorry to hear.,negative,morning,46-60,Palau,18094,460.0,39
707ef9a4ec,Its beginning to get way too hard to please all of my friends at once,too hard to please all of my friends at once,negative,morning,0-20,Egypt,102334404,995450.0,103
7ebebea7d5,I left my ipod in the car so now its all warm.,all warm.,positive,night,31-45,Czechia (Czech Republic),10708981,77240.0,139
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive,night,70-100,San Marino,33931,60.0,566
1b51db3fbd," I know man, my day off and am pulling myself out of bed","I know man, my day off and am pulling myself out of bed",negative,night,70-100,Pakistan,220892340,770880.0,287
7ed19d9afd,"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!",slippy floor,negative,noon,60-70,Nicaragua,6624554,120340.0,55
be4bf08fd6, if ur as awesome as i think u are u would sooo write me back  a lil something   <--- crossing fingers,awesome,positive,morning,46-60,Mozambique,31255435,786380.0,40
11d1273747,Goodnight everyone  Happy Mothers Day to all of the mothers out there,Goodnight everyone  Happy Mothers Day to all of the mothers out there,positive,night,70-100,Iraq,40222493,434320.0,93
05413da080,Hadnt cried in such a long time,cried,negative,morning,0-20,Belarus,9449323,202910.0,47
133e6b6bf7,i finally found the perfect matte lcd cleaner!! i-nix screen cleaner ftw!,found the perfect matte lcd cleaner!!,positive,night,70-100,Guyana,786552,196850.0,4
9dd3903cc9,Back at homes hmm.. i rly am going to miss my boo for 2 days like wtf,Back at homes hmm.. i rly am going to miss my boo for 2 days like wtf,negative,morning,46-60,Hungary,9660351,90530.0,107
a7d4758b6b," just nothing perfect in life, darn it!","just nothing perfect in life, darn it!",negative,noon,60-70,El Salvador,6486205,20720.0,313
e669acee39, Hello my friend...you found me on GBW? How are you doing? Glad to see you twitter but I have to learn German,? Glad,positive,noon,21-30,Mauritius,1271768,2030.0,626
bfc6990ce4,_Manford Awww thats such a lovely thing for u to say to me  are u doing any in manchester? x,lovely,positive,noon,21-30,Angola,32866272,1246700.0,26
f65197721b,"And they are so censoring over at nin.com, nobody can really speculate about these things are disagree with anything",disagree,negative,morning,0-20,Tajikistan,9537645,139960.0,68
c2e310d8d5, thanx for the msg! glad u liked my singing!,! glad,positive,night,70-100,Saint Lucia,183627,610.0,301
de5d0dec2b,is very worried about sam  and wants to know he okay!,worried,negative,night,70-100,Honduras,9904607,111890.0,89
a8a46f19de, australian hardcore/metalcore scene is amazing right now. look up third strike and chelsea smile. AND BMTH IN 7 DAYS,amazing right now.,positive,night,70-100,Australia,25499884,7682300.0,3
5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive,morning,46-60,Tajikistan,9537645,139960.0,68
4c55586b72, you`re so gorgeous!!,gorgeous!,positive,night,31-45,Niger,24206644,1266700.0,19
a2fcd3e2ff, I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!,re still NO Shows,negative,morning,0-20,Burundi,11890784,25680.0,463
1a598bd4d2, 'coomee to ja-maiii-cah an feel alllll right!!' hahaha,feel alllll right!,positive,morning,0-20,Hungary,9660351,90530.0,107
ec34058059,fell on the sidewalk in harvard square.  stupid cobblestones!  now my hand hurts,fell on the sidewalk in harvard square.  stupid cobblestones!  now my hand hurts,negative,morning,0-20,Sao Tome and Principe,219159,960.0,228
693e7b9e12,Back in from LI 2hours ago n still made it to work  yay me,yay me,positive,night,70-100,Italy,60461826,294140.0,206
a7c665c91e,on jacksonville beach walking in the cold **** water   but have to work in the morning   ily <(`-`)>,walking in the cold **** water,negative,noon,21-30,Libya,6871292,1759540.0,4
130872779f,Why am i even trying to go to sleep. Its 28c in here. I miss the cold winter nights,miss,negative,morning,0-20,Micronesia,115023,700.0,164
2898a9f7d5,I have to start eating healthy,healthy,positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050.0,40
a10d0d52c2, Good Luck!!!  keep rockin!,Good Luck!!!,positive,morning,0-20,Micronesia,115023,700.0,164
63f96005f5,_smith1 wats i got luck for u guys to beat la!! lol i would like to see this best wishes to the denver nuggets but my cavs are done,i got luck for u guys to beat la!!,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290.0,83
438088f1ab," I guess it`ll work under fusion. Otherwise you`ll have to boot directly to Vista just to do some online banking, which sucks","I guess it`ll work under fusion. Otherwise you`ll have to boot directly to Vista just to do some online banking, which sucks",negative,night,31-45,Finland,5540720,304000.0,18
ff3432f875," just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity",love,positive,noon,60-70,Guinea-Bissau,1968001,28120.0,70
a30612b7f6,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,UNSALVAGEABLE,negative,morning,0-20,Argentina,45195774,2736690.0,17
37fa1cef8f, Interesting Combination  Have a great one ;),Have a great one ;),positive,noon,21-30,Japan,126476461,364555.0,347
93e36f1caf,"Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?","pretty bored, but I refuse to study.",negative,noon,21-30,Zambia,18383955,743390.0,25
33b4f870e8, dont ya know? people love the human society,people love the human society,positive,noon,21-30,Tuvalu,11792,30.0,393
44e6dbd2ce,Annoyed,Annoyed,negative,night,70-100,India,1380004385,2973190.0,464
bfa9cdee68,sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,sorry,negative,noon,60-70,Estonia,1326535,42390.0,31
e3b7b4a3c8,"Sick. Feel like jello, can`t talk, and delirious.","Sick. Feel like jello, can`t talk, and delirious.",negative,morning,0-20,China,1439323776,9388211.0,153
f47f6473e5,Little one`s cast is taking a beating. It is starting to show some wear and tear and it has been on less than a week. She is too active!,active!,positive,night,70-100,Ghana,31072940,227540.0,137
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative,noon,60-70,Angola,32866272,1246700.0,26
3578ec042e, haha calm down. Youll get ur shades. I`m still sick tho. So I`ll prolly knockout after,sick,negative,night,70-100,Finland,5540720,304000.0,18
7a50920dd7,just made a cake for mi madre  i`m goooooddd!,i`m goooooddd!,positive,morning,46-60,Greece,10423054,128900.0,81
e79ee39957,"aww, anyone see hollie steel on BGT tonight? wharra shame","aww, anyone see hollie steel on BGT tonight? wharra shame",negative,night,70-100,Monaco,39242,1.0,26337
160666a35d,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",accidents,negative,night,31-45,Liechtenstein,38128,160.0,238
64c4f2d581, Or your mobile doesn`t like me,Or your mobile doesn`t like me,negative,morning,46-60,Kazakhstan,18776707,2699700.0,7
34b20a06ef,"  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David","! heheee hope you get some decently priced breakfast real quick, David",positive,night,31-45,Senegal,16743927,192530.0,87
2012705b97,  And it`s only downhill from now until Labor Day!,y downhill,negative,noon,21-30,Dominican Republic,10847910,48300.0,225
945e466b80," I`m trying my dang hardest to not watch the movie again until I finish the book, again.","I`m trying my dang hardest to not watch the movie again until I finish the book, again.",negative,night,70-100,South Africa,59308690,1213090.0,49
f0430ad644,My dad is taking me to school & picking me up tomoz. Plus I have drama almost all day. Score bludge day,My dad is taking me to school & picking me up tomoz. Plus I have drama almost all day. Score bludge day,negative,morning,46-60,Congo (Congo-Brazzaville),5518087,342000.0,16
09162e0abc," Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",s hoping,positive,morning,46-60,Austria,9006398,82400.0,109
81215c9453, I was thinking that too this morning. Don`t worry it soon passes,Don`t worry,positive,noon,21-30,Tanzania,59734218,885800.0,67
47ac7fd547,why are matters of the heart so complicated?,complicated?,negative,noon,60-70,Paraguay,7132538,397300.0,18
f5af158d52," eesh, sorry to hear that. That isn`t going to make travel to Michigan very fun.",", sorry",negative,noon,21-30,Japan,126476461,364555.0,347
c89b84685c,"traveling alone makes i meet new people,new circle ..strangers become friends",friends,positive,night,70-100,Gambia,2416668,10120.0,239
753d7f4ac2,Buried under more web changes. Going to make lunch now... I won`t have a chance later. Too much to do.,I won`t have a chance later.,negative,morning,46-60,Serbia,8737371,87460.0,100
235e9a1055,Just reached my Cellgroup leader`s house and he is surprised that I`m dry. Haha.  - http://tweet.sg,surprised,negative,noon,60-70,Israel,8655535,21640.0,400
516e4b2877,Ugggh school is so boring! I cant wait for this year to be over. So stressed -.= i shoulda stayed home today....,Ugggh school is so boring!,negative,night,31-45,Comoros,869601,1861.0,467
dde965b855,still at home goodness,still at home goodness,positive,night,31-45,Honduras,9904607,111890.0,89
f98930b9f0,Miss the newest version on Glade on Debian..,Miss the newest version on Glade on Debian..,negative,noon,21-30,Zambia,18383955,743390.0,25
2a98bd4240,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,Good,positive,noon,21-30,Japan,126476461,364555.0,347
04236cf85a," yip, that would be a sign that you`ve been on the dodgy sites Jo... eish boet, it ain`t cool",it ain`t cool,negative,morning,46-60,Sao Tome and Principe,219159,960.0,228
a0ab3350c4," Didn`t think of that.  Why can`t people just be nice? Why would anyone think it`s ok to say that, much less make a movie.",Why can`t people just be nice?,negative,night,70-100,Syria,17500658,183630.0,95
36ff69f301,on youtube watching taylor on the today show wish i was there !,wish,positive,night,31-45,Djibouti,988000,23180.0,43
fee6cd911d,Wave looks interesting. http://bit.ly/pvYYh  If we are going to live our lives so connected might as well be easy right? Google owns us.,Wave looks interesting. ht,positive,noon,60-70,Fiji,896445,18270.0,49
781d900e89, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,. Sorry,negative,night,70-100,Russia,145934462,16376870.0,9
139d61afef,Justin is too funny on SNL... Ciara finna perform,Justin is too funny,positive,morning,0-20,Rwanda,12952218,24670.0,525
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive,noon,21-30,Guinea-Bissau,1968001,28120.0,70
cca69edec6,Holy **** I am exhausted! Resting up so I can go see Wolverine later,Holy **** I am exhausted!,negative,morning,0-20,Nauru,10824,20.0,541
e9b989afae,Search Ryan Carera & Josh Kelley  They`re really good,good,positive,night,31-45,Spain,46754778,498800.0,94
cc58093a1b, I know!! our cats could be family  mikesh is so cute!!,sh is so cute!!,positive,noon,21-30,Gabon,2225734,257670.0,9
c1512932c1, Soooo happy your back!,Soooo happy your back!,positive,morning,46-60,Haiti,11402528,27560.0,414
21ace14664,last night in cork  and come tomorrow i wont even remember it... double sad face  haha... in the words on lily allen.. NOT FAIR!,sad,negative,night,31-45,San Marino,33931,60.0,566
0f1d624679,"Man, finishing 'Operation Anchorage' sure gives you an unfair advantage, loot-wise... I love the stealth field suit and Gauss rifle",love the stealth field suit,positive,noon,60-70,Belgium,11589623,30280.0,383
fc9b461812," Good plan, Peg --plus I like the sound of 'Money Monday'","Good plan,",positive,night,70-100,Zimbabwe,14862924,386850.0,38
a8a72e9ab5, I didn`t know you had a blog!!!  That`s so awesome,o awesome,positive,noon,21-30,Iran,83992949,1630000.0,52
41a7861269,  I know.  Sorry.,.  Sorr,negative,noon,60-70,Bhutan,771608,38100.0,20
efa22c73f9, ooo and good luck for dundee tonight i can`t be there cos i have a ton of uni work,ooo and good luck for dundee tonight i can`t be there cos i have a ton of uni work,positive,morning,0-20,Indonesia,273523615,1811570.0,151
8ee090e3f2,DIDO 'US 2 Little Gods' http://ow.ly/9UIn 'Just this moment/ Let it all stop here/ I`ve had my fill'...words that make you panic...,panic..,negative,night,70-100,Laos,7275560,230800.0,32
83aaaa95a4,Work has really sucked the past 2 days & now my 11:00 meeting on Mon got rescheduled to 9 am! That`s just plain evil...i need a new job!!,sucked,negative,night,70-100,Finland,5540720,304000.0,18
890d25403c,researching ecologically friendly carrier bags... its not cheap to be eco friendly,friendly,positive,night,31-45,Mexico,128932753,1943950.0,66
4489b2cdb3,_ no idea what that means bb,_ no idea wh,negative,morning,0-20,Palau,18094,460.0,39
3c286b5826,Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think.,pretty good Saturday,positive,night,31-45,Netherlands,17134872,33720.0,508
760fda684d," aw anytime, boo. I realized that all I need to have some fun are you guys.  We should change our pics to the poofy hair ones!",fun,positive,noon,21-30,Saudi Arabia,34813871,2149690.0,16
95005befea,More pictures! It was such a pretty day  http://tr.im/kWOD #fb,pretty,positive,morning,46-60,New Zealand,4822233,263310.0,18
5f7cd310d3,"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow",miss,negative,night,31-45,Ecuador,17643054,248360.0,71
15e9a33cdd, Happy Mothers Day! i hope tom got you something special! enjoy day!  xo,Happy Mothers Day!,positive,noon,60-70,Côte d'Ivoire,26378274,318000.0,83
e38943d3e1," No, I`m working on it all day Monday. Will try to remember to email but if you`re smart you`ll remind me.",smart,positive,morning,0-20,Austria,9006398,82400.0,109
3373353ca6,is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!,.stay positive twitterbugs...goodnight!,positive,night,31-45,Guatemala,17915568,107160.0,167
2fbb56c292,_and_jay hi!  **** your job!,and_jay hi!  **** your job!,negative,noon,21-30,Dominican Republic,10847910,48300.0,225
a9bf642b42,excited to see my cousins this week.,excited,positive,noon,60-70,Iceland,341243,100250.0,3
76322dd9f7," last time I looked, they were about 400. They gave us a demo, so cool",so cool,positive,night,70-100,Guyana,786552,196850.0,4
e98e0fede0,at last i wr0te again....got bored the previous dayss....,bored,negative,night,70-100,Barbados,287375,430.0,668
4823447b06, ohhhh excellent song..hello my friend!,excellent,positive,night,70-100,Barbados,287375,430.0,668
93142879a0,"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself",Well Done,positive,noon,60-70,Azerbaijan,10139177,82658.0,123
d775b40b61, thats the crazy part - was for 16:30. but reasons include 'full schedule' & 'travelling with his daughter'... So. Not. Cool,thats the crazy part,negative,morning,46-60,South Korea,51269185,97230.0,527
06e32ccac1, thanks! You know that happens once in awhile,thanks!,positive,noon,60-70,Iceland,341243,100250.0,3
76edbb1539,Happy Mothers Day to all Mom`s,Happy Mothers Day,positive,noon,60-70,Nicaragua,6624554,120340.0,55
2da39a8223,TIGERS! WOO! YOU`RE MY BABY! omfg. cleveland was a blast. sleeping.,TIGERS! WOO! YOU`RE MY BABY! omfg. cleveland was a blast.,positive,night,31-45,Honduras,9904607,111890.0,89
2381c40431, thanks  I`ll check those out.,thanks,positive,noon,21-30,Côte d'Ivoire,26378274,318000.0,83
4044f7e33d,"Nothin better then ridin in a car with your sister while blasting TH, CB and Lady Gaga so loud you cant hear yourself screamin the lyrics","Nothin better then ridin in a car with your sister while blasting TH, CB and Lady Gaga so loud you cant hear yourself screamin the lyrics",positive,night,70-100,Finland,5540720,304000.0,18
135fd70ca5,just finished Wander Girl for the nth time-- Hilda Gallares is truly a kindred soul.,is truly a kindred soul.,positive,night,31-45,Thailand,69799978,510890.0,137
7a1ba01fa0, Good morning  It`s raining here.,Good morning,positive,night,31-45,Algeria,43851044,2381740.0,18
367b67dd15,My head`s THUMPING.,THUMPING.,negative,morning,0-20,Saint Vincent and the Grenadines,110940,390.0,284
e988ebf7b0,FB is boring   and i wanna sing RIGHT NOW..! *-*,boring,negative,noon,21-30,Libya,6871292,1759540.0,4
0e615fcfe1, Pretty sure you are hero status... You rock my socks Ms McCain.,Pretty sure you are hero status... You rock my socks,positive,night,31-45,Australia,25499884,7682300.0,3
2a16bf5fb2, There`s nothing good on tonight anyway!!   #Sigjeans,There`s nothing good on tonight anyway!,negative,night,70-100,Comoros,869601,1861.0,467
9f050c0452,'your true theatre calling? - musical theatre actor'  i wish :`( ****,musical theatre actor'  i wish :`,positive,morning,0-20,Timor-Leste,1318445,14870.0,89
b3946d49b7,"Anybody out there having a beer right now? I hate drinking alone. Mrs T is oot  On the other hand, Mrs T is oot",hate,negative,noon,60-70,Switzerland,8654622,39500.0,219
5da7eca093, So you wouldn`t reply to my gorgeous hot pink shoe then?,gorgeous,positive,morning,46-60,Ukraine,43733762,579320.0,75
3454a7bc61,A very special HAPPY MOTHER`S DAY to all Mommies!,A very special HAPPY MOTHER`S DAY to all Mommies!,positive,night,70-100,Jordan,10203134,88780.0,115
6601679901,_Neith James just doesn`t take a bad pic! Colossal loveliness! (wondering if I spelt colossal right...),loveliness! (wondering if I spelt colossal right...),positive,night,31-45,Croatia,4105267,55960.0,73
8d4272e7f3, Fab new pic by the way,Fab new pic by the way,positive,night,70-100,Namibia,2540905,823000.0,3
bfc9bbe0d9, i love you kim kardashian i watch your tv show keeping up with the kardashians ur blessed with good looks,i love you,positive,morning,0-20,France,65273511,547557.0,119
49f1f2cbf6," Well, guess we just make a pretty great pair.  So, I don`t think our birthday date is going to happen. :`(",".  So, I don`t think our birthday date is going to happen. :`(",negative,night,31-45,Senegal,16743927,192530.0,87
bc70be4520,i woke him up in the end. Got bored.,Got bored.,negative,night,31-45,Marshall Islands,59190,180.0,329
d00c95e0a6,"Head is pounding.  Well not really pounding, more like tapping I suppose.  Homework time.",pounding.,negative,noon,60-70,Poland,37846611,306000.0,124
6fd9ac06ab,needs to wash her cats. Uncool.,Uncool.,negative,morning,46-60,Papua New Guinea,8947024,452860.0,20
aaeaa5c0b5, ._.; Thanxxx ! Now with that message I just wanna leave !! )= ! BYE !,Thanxxx,positive,morning,0-20,Andorra,77265,470.0,164
cee5059af5," Hehe, funny (the midget thing) ! Cheer up Alex, and wave from below  Is it that you are in Germany right now? .. or in Spain? ;D",funny,positive,night,31-45,Sierra Leone,7976983,72180.0,111
86263c8ddd, I even saw the news feeds of the archie website. But can`t believe he`d choose veronica. I`m disappointed,disappointed,negative,noon,21-30,Tuvalu,11792,30.0,393
0800f14ebc,*sigh* joe sings so purdy.  he makes me feel better,he makes me feel better,positive,night,70-100,Sierra Leone,7976983,72180.0,111
e8859c141d,Back from x-men origins . Was surprisingly good,good,positive,noon,21-30,Colombia,50882891,1109500.0,46
efc6ac1032,  you`re mean to me. You`re gonna have to have pizza tonight or it will go off.,e mean,negative,noon,60-70,Cameroon,26545863,472710.0,56
fac8f5cc3f, it sure is  Hope you`re having a great morning,Hope you`re having a great morning,positive,night,31-45,Russia,145934462,16376870.0,9
5785712bfa,what a lazy sunday... I love lazy days...,love,positive,noon,21-30,Chad,16425864,1259200.0,13
fc8b4e690e,Damnit Day 26 is at Northpark mall..I use to live near there  someone steal Mike for meeee!,steal,negative,night,70-100,Barbados,287375,430.0,668
bb946cb35b, - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,problem,negative,night,70-100,Syria,17500658,183630.0,95
dcca11255e,i just saw a pony that used to live in front of my house again. he`s developed cushing`s disease tho,disease,negative,noon,60-70,El Salvador,6486205,20720.0,313
ba6f4944cd,@ inthebattle its really cute. One of my favorites.,cute.,positive,morning,46-60,Hungary,9660351,90530.0,107
0254a71f68,healthy food is NOT helping my hangover,NOT helping,negative,night,70-100,Jordan,10203134,88780.0,115
0c55426e67,"_n_DC amendment 4.5: the right to be big pimpin? Because gotta say, a positive right at best. Man, 2nd time tonight w/ this thrd",positive,positive,noon,21-30,Colombia,50882891,1109500.0,46
f7f69165f0,Wonderful weekend  I love my family  & friends because they are awesome. Happy Mothers day to all the mommies <3,. Happy,positive,night,70-100,Spain,46754778,498800.0,94
553f90e47c, I was afraid you were going to say that.,afraid,negative,morning,46-60,Lithuania,2722289,62700.0,43
3ef24ff6fa,TGIF. I don`t feel good.,don`t feel good.,negative,night,70-100,Jordan,10203134,88780.0,115
8f45d14d87," haha you didnt see my macbook or my 24`` imac in that pic, so feel extra jealous lolll",jealous,negative,morning,46-60,Malawi,19129952,94280.0,203
5419aaf31e,Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,nice we,positive,noon,21-30,Oman,5106626,309500.0,16
670ce5020c,ugh... my back is killing me.,ugh... my back is killing me.,negative,noon,21-30,Tunisia,11818619,155360.0,76
feec8aa27b,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad","not doing so good,",negative,night,70-100,Lesotho,2142249,30360.0,71
9c2e8d8f54,"Just wrote another song, but i ran out of ideas so this one is a bit ****",this one is a bit ****,negative,morning,46-60,Papua New Guinea,8947024,452860.0,20
43708cfaf0, I`m just starting to feel really panicky and anxious that something bad has happened cos it seems like it`s been ages,g to feel really panicky and anxious that something bad has happened cos it seems like it`s been ages,negative,night,70-100,Gambia,2416668,10120.0,239
4d84400b4b, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,i want to see you all our twittering is making me miss you,negative,night,70-100,Czechia (Czech Republic),10708981,77240.0,139
6c994185ed, aww sorry to hear you are having a bad time. Remember: this too shall pass,aww sorry to hear you are having a bad time. Remember: this too shall pass,negative,noon,21-30,Cyprus,1207359,9240.0,131
458f9dd8bb,Today is my first Mothers Day with my little boy. Hope you`re having a beautiful Mothers Day too,Today is my first Mothers Day with my little boy. Hope you`re having a beautiful Mothers Day too,positive,morning,0-20,Congo (Congo-Brazzaville),5518087,342000.0,16
8223259736,Located & ordered a new cooker today. Feel I`ve got a real bargain from http://www.laskys.com  Ã¯Â¿Â½80 cheaper than the place I almost used.,Feel I`ve got a real bargain from http://www.laskys.com  Ã¯Â¿Â½80 cheaper than the place I almost used.,positive,morning,0-20,Nauru,10824,20.0,541
7bb43eca18," weird trigger. You should definitely ask him about them on monday, dude...  ****.",weird,negative,noon,60-70,Kyrgyzstan,6524195,191800.0,34
65b00d7d9a,I have a headache. And I have nobody to keep me company.   _wants.to.be.a.kidd.again<3,I have a headache.,negative,noon,21-30,Romania,19237691,230170.0,84
53a33431b2, I really like pink after I saw her live while in the new T-MOBILE Advert,really like,positive,night,31-45,Antigua and Barbuda,97929,440.0,223
62279dc367," did you decide it is a sprain? mine has been bothering me again, but never had it checked out","mine has been bothering me again,",negative,morning,0-20,Afghanistan,38928346,652860.0,60
175ba4ef80,   I`m a Metsies fan also! Boo Hoo,ies fan also! Boo Ho,positive,morning,0-20,Mongolia,3278290,1553560.0,2
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520.0,95
97df67af13,i just found a crack in my baking bowl...milk spilled everywhere,i just found a crack in my baking bowl...milk spilled everywhere,negative,night,70-100,Cabo Verde,555987,4030.0,138
0977cf06ba, haha sounds like your going to have heaps of fun  ****,fun,positive,night,31-45,Marshall Islands,59190,180.0,329
185d56dfc3,which was so UNLIKE the POs in oakland. they hated me,they hated me,negative,morning,0-20,Hungary,9660351,90530.0,107
84f17cea0c,is bored at work,bored,negative,night,70-100,Kiribati,119449,810.0,147
7733e8541a,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,bad,negative,morning,0-20,Saint Vincent and the Grenadines,110940,390.0,284
b15dafdff1, Safe flight home to you and Jade   ****,Safe,positive,morning,0-20,Timor-Leste,1318445,14870.0,89
24e75aa425,http://twitpic.com/4whaf Tonight`s art show was a success.,how was a success.,positive,noon,21-30,Israel,8655535,21640.0,400
15297ade82,"Oh, yes... Happy NINE year annivarsary to Hanson`s second studio album, 'This Time Around.'","Oh, yes... Happy NINE year annivarsary to Hanson`s second studio album, 'This Time Around.'",positive,morning,46-60,Turkmenistan,6031200,469930.0,13
28c9dc4cc4,Exhausted after a 58 hour work week,Exhausted after a 58 hour work week,negative,morning,0-20,Nauru,10824,20.0,541
